id,company,title,location,url,source,posted_date,first_seen,category
862,Databricks,"Manager, Delivery Solutions Architects - Public Sector",Maryland; Remote - Virginia; Remote - Washington D.C.,https://databricks.com/company/careers/open-positions/job?gh_jid=8739519002,greenhouse,2026-09-09,2026-09-19T13:31:10.782618,remote
774,Databricks,Enterprise Account Executive - Retail,Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8582321002,greenhouse,2026-09-02,2026-09-19T13:31:10.458377,remote
773,Databricks,Enterprise Account Executive - RCT,Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8814526002,greenhouse,2026-09-18,2026-09-19T13:31:10.454269,remote
772,Databricks,Enterprise Account Executive - QSR,Remote - North Carolina,https://databricks.com/company/careers/open-positions/job?gh_jid=8641388002,greenhouse,2026-09-02,2026-09-19T13:31:10.451315,remote
762,Databricks,"Enterprise Account Executive, Dept. of Transportation",Remote - Washington D.C.,https://databricks.com/company/careers/open-positions/job?gh_jid=8816440002,greenhouse,2026-09-18,2026-09-19T13:31:10.414617,remote
703,Databricks,Delivery Solutions Architect - Oil & Gas,Remote - Texas,https://databricks.com/company/careers/open-positions/job?gh_jid=8687483002,greenhouse,2026-09-04,2026-09-19T13:31:10.202984,remote
699,Databricks,Delivery Solutions Architect - Digital Native Business,Remote - California; Remote - Oregon; Remote - Washington,https://databricks.com/company/careers/open-positions/job?gh_jid=8548986002,greenhouse,2026-09-02,2026-09-19T13:31:10.190505,remote
644,Stripe,"Technical Program Manager, Money-as-a-Service",Remote in the US,https://stripe.com/jobs/search?gh_jid=8042055,greenhouse,2026-09-10,2026-09-19T13:31:04.950773,remote
628,Stripe,"Strategy & Operations, Infrastructure",Remote US,https://stripe.com/jobs/search?gh_jid=8171095,greenhouse,2026-09-14,2026-09-19T13:31:04.879311,remote
567,Stripe,"Solutions Architect, SMB (Presales)",NYC or Remote,https://stripe.com/jobs/search?gh_jid=8152145,greenhouse,2026-09-14,2026-09-19T13:31:04.654901,remote
555,Stripe,"Software Engineer, Vulnerability Management",US - Remote,https://stripe.com/jobs/search?gh_jid=8089353,greenhouse,2026-09-10,2026-09-19T13:31:04.617199,remote
444,Stripe,Risk Operations Analyst,Remote,https://stripe.com/jobs/search?gh_jid=7230921,greenhouse,2026-09-17,2026-09-19T13:31:04.216582,remote
437,Stripe,"Program Manager, Security GRC",Remote,https://stripe.com/jobs/search?gh_jid=8078131,greenhouse,2026-09-10,2026-09-19T13:31:04.191713,remote
435,Stripe,"Program Manager, Performance and Talent Planning",US-Remote,https://stripe.com/jobs/search?gh_jid=8127890,greenhouse,2026-09-10,2026-09-19T13:31:04.184494,remote
373,Stripe,"Pre-Sales Solutions Architect, Money Management","NYC, SF, Chi, Remote",https://stripe.com/jobs/search?gh_jid=7370967,greenhouse,2026-09-17,2026-09-19T13:31:03.904280,remote
372,Stripe,"Pre-Sales Solutions Architect, Billing",Remote,https://stripe.com/jobs/search?gh_jid=7728618,greenhouse,2026-09-16,2026-09-19T13:31:03.890028,remote
371,Stripe,Portfolio Pricing Strategist,US-Remote,https://stripe.com/jobs/search?gh_jid=7858811,greenhouse,2026-09-10,2026-09-19T13:31:03.878193,remote
